Time,Open,High,Low,Close
02/01/2024,0.68069,0.68388,0.67563,0.67598
03/01/2024,0.67609,0.67703,0.6702,0.67306
04/01/2024,0.67277,0.67597,0.66964,0.67059
05/01/2024,0.67066,0.67479,0.66404,0.67131
08/01/2024,0.67141,0.67344,0.66773,0.67193
09/01/2024,0.67188,0.67343,0.66769,0.66861
10/01/2024,0.6679,0.67128,0.66782,0.66987
11/01/2024,0.66973,0.67254,0.6647,0.66865
12/01/2024,0.66756,0.67287,0.66704,0.6684
15/01/2024,0.66779,0.67044,0.66501,0.66599
16/01/2024,0.66594,0.66615,0.6576,0.65839
17/01/2024,0.65839,0.65943,0.65248,0.65519
18/01/2024,0.65519,0.65745,0.65251,0.65726
19/01/2024,0.6569,0.66015,0.65552,0.65946
22/01/2024,0.65831,0.66135,0.65662,0.65695
23/01/2024,0.65698,0.66123,0.65515,0.65789
24/01/2024,0.65792,0.6621,0.65657,0.65757
25/01/2024,0.65753,0.66097,0.65659,0.65839
26/01/2024,0.65823,0.66095,0.65745,0.65748
29/01/2024,0.6573,0.66156,0.65695,0.66103
30/01/2024,0.66097,0.66242,0.65748,0.66018
31/01/2024,0.6602,0.66224,0.65513,0.65675
01/02/2024,0.65654,0.65787,0.6508,0.65717
02/02/2024,0.65705,0.66101,0.65021,0.65102
05/02/2024,0.65103,0.652,0.64686,0.64825
06/02/2024,0.6481,0.65248,0.64777,0.65225
07/02/2024,0.65225,0.654,0.65155,0.65195
08/02/2024,0.65196,0.65317,0.64803,0.6491
09/02/2024,0.64909,0.65342,0.64871,0.65214
12/02/2024,0.65165,0.65428,0.65044,0.6529
13/02/2024,0.65304,0.65383,0.64425,0.64533
14/02/2024,0.64509,0.64953,0.6446,0.64875
15/02/2024,0.64882,0.65293,0.64772,0.65242
16/02/2024,0.6524,0.65445,0.64963,0.65278
19/02/2024,0.65244,0.65516,0.65244,0.65392
20/02/2024,0.65394,0.65789,0.6521,0.65483
21/02/2024,0.65476,0.65728,0.65329,0.65506
22/02/2024,0.65499,0.65948,0.65401,0.65567
23/02/2024,0.65566,0.65803,0.65489,0.65629
26/02/2024,0.6565,0.65666,0.65306,0.65376
27/02/2024,0.65394,0.65577,0.65245,0.65418
28/02/2024,0.6543,0.65493,0.64881,0.64921
29/02/2024,0.64946,0.65309,0.64867,0.64947
01/03/2024,0.64963,0.65336,0.6489,0.65241
04/03/2024,0.65201,0.6535,0.65061,0.65081
05/03/2024,0.65113,0.65207,0.64772,0.64989
06/03/2024,0.64958,0.65812,0.64922,0.65622
07/03/2024,0.65628,0.66244,0.65598,0.66176
08/03/2024,0.66193,0.66675,0.66128,0.66229
11/03/2024,0.6623,0.66264,0.65965,0.66102
12/03/2024,0.66102,0.66387,0.65842,0.6605
13/03/2024,0.66051,0.6635,0.65999,0.66198
14/03/2024,0.66201,0.66315,0.65692,0.6579
15/03/2024,0.6579,0.65812,0.65519,0.65589
18/03/2024,0.65582,0.65737,0.655,0.65559
19/03/2024,0.65559,0.65637,0.65039,0.65304
20/03/2024,0.65303,0.65869,0.65115,0.65792
21/03/2024,0.65792,0.66344,0.6561,0.65686
22/03/2024,0.65686,0.65766,0.65101,0.65129
25/03/2024,0.65125,0.65468,0.65098,0.65383
26/03/2024,0.65383,0.6559,0.65302,0.65315
27/03/2024,0.65326,0.65383,0.65111,0.65305
28/03/2024,0.65306,0.65406,0.64852,0.65127
29/03/2024,0.65127,0.65327,0.65026,0.6514
01/04/2024,0.6518,0.65386,0.64806,0.64885
02/04/2024,0.64887,0.65238,0.64753,0.65173
03/04/2024,0.65173,0.65696,0.64996,0.65637
04/04/2024,0.65637,0.66188,0.65544,0.65873
05/04/2024,0.6587,0.6592,0.65491,0.65783
08/04/2024,0.65709,0.66098,0.65593,0.66035
09/04/2024,0.66027,0.66441,0.6598,0.66279
10/04/2024,0.66278,0.6631,0.64986,0.6512
11/04/2024,0.65118,0.65528,0.65017,0.65372
12/04/2024,0.65374,0.6543,0.64559,0.64616
15/04/2024,0.647,0.6493,0.64375,0.64414
16/04/2024,0.64395,0.6444,0.63891,0.64009
17/04/2024,0.6401,0.6446,0.63962,0.64343
18/04/2024,0.64317,0.64562,0.64163,0.64209
19/04/2024,0.64187,0.64327,0.63619,0.64166
22/04/2024,0.64076,0.64548,0.64045,0.64489
23/04/2024,0.64489,0.64899,0.6441,0.64863
24/04/2024,0.64841,0.65293,0.64712,0.64971
25/04/2024,0.64964,0.65389,0.64847,0.65179
26/04/2024,0.65179,0.65538,0.65135,0.65326
29/04/2024,0.6524,0.65864,0.65165,0.65657
30/04/2024,0.65656,0.65672,0.64711,0.64721
01/05/2024,0.64728,0.65399,0.64651,0.65223
02/05/2024,0.65219,0.65731,0.65128,0.65646
03/05/2024,0.65614,0.66485,0.65596,0.66088
06/05/2024,0.6616,0.66381,0.66025,0.66248
07/05/2024,0.66246,0.66435,0.65866,0.6597
08/05/2024,0.65967,0.65985,0.65577,0.65786
09/05/2024,0.65786,0.66206,0.65652,0.66193
10/05/2024,0.66191,0.66226,0.65961,0.66034
13/05/2024,0.6601,0.66286,0.65854,0.66072
14/05/2024,0.6607,0.66275,0.6579,0.66261
15/05/2024,0.66229,0.66949,0.66184,0.66928
16/05/2024,0.66909,0.67137,0.6654,0.66776
17/05/2024,0.66765,0.67009,0.66487,0.66928
20/05/2024,0.6693,0.67092,0.66617,0.6667
21/05/2024,0.66671,0.66789,0.66464,0.66648
22/05/2024,0.66624,0.6685,0.66078,0.66192
23/05/2024,0.66186,0.6653,0.65977,0.66056
24/05/2024,0.66057,0.66364,0.65919,0.66273
27/05/2024,0.6625,0.66599,0.66214,0.66497
28/05/2024,0.66524,0.66797,0.66425,0.66491
29/05/2024,0.66488,0.66656,0.66088,0.66095
30/05/2024,0.66063,0.66477,0.65908,0.66323
31/05/2024,0.66285,0.66727,0.66216,0.66527
03/06/2024,0.6643,0.66951,0.66326,0.6689
04/06/2024,0.66887,0.66985,0.66305,0.66488
05/06/2024,0.66454,0.66643,0.6626,0.6647
06/06/2024,0.66443,0.66834,0.66334,0.66656
07/06/2024,0.6659,0.6681,0.65785,0.65789
10/06/2024,0.65774,0.66108,0.65753,0.66093
11/06/2024,0.6606,0.66134,0.65885,0.66056
12/06/2024,0.66051,0.67043,0.65969,0.66631
13/06/2024,0.6663,0.6675,0.6626,0.66349
14/06/2024,0.66348,0.66414,0.65913,0.66148
17/06/2024,0.6608,0.66178,0.65851,0.66126
18/06/2024,0.66102,0.66577,0.65998,0.66557
19/06/2024,0.66556,0.66774,0.66507,0.66708
20/06/2024,0.66682,0.6679,0.66474,0.66553
21/06/2024,0.66553,0.66694,0.66313,0.66395
24/06/2024,0.6638,0.66675,0.66259,0.66553
25/06/2024,0.66565,0.66724,0.6635,0.66463
26/06/2024,0.66451,0.66885,0.66331,0.66471
27/06/2024,0.66468,0.66723,0.66398,0.66464
28/06/2024,0.6643,0.66844,0.66199,0.66691
01/07/2024,0.668,0.66888,0.66437,0.66596
02/07/2024,0.66581,0.666,0.6634,0.66494
03/07/2024,0.66659,0.67335,0.66629,0.67024
04/07/2024,0.67016,0.67314,0.67011,0.67254
05/07/2024,0.67228,0.67526,0.6709,0.67479
08/07/2024,0.674,0.67608,0.67309,0.67363
09/07/2024,0.67342,0.67474,0.67237,0.67406
10/07/2024,0.67405,0.67518,0.6732,0.67467
11/07/2024,0.67469,0.67984,0.67424,0.67589
12/07/2024,0.67588,0.67935,0.67537,0.67835
15/07/2024,0.67686,0.67885,0.67523,0.67588
16/07/2024,0.67586,0.67641,0.67144,0.67331
17/07/2024,0.67316,0.67545,0.67207,0.67287
18/07/2024,0.67278,0.67433,0.66974,0.67055
19/07/2024,0.6703,0.67084,0.668,0.66834
22/07/2024,0.6689,0.67021,0.66311,0.66418
23/07/2024,0.66422,0.66457,0.66109,0.66142
24/07/2024,0.66142,0.66166,0.65775,0.65807
25/07/2024,0.65774,0.65821,0.65135,0.65374
26/07/2024,0.6537,0.65682,0.6532,0.65465
29/07/2024,0.6549,0.65681,0.65239,0.65483
30/07/2024,0.65483,0.65621,0.65289,0.65374
31/07/2024,0.65358,0.65555,0.64795,0.65407
01/08/2024,0.65398,0.65597,0.64886,0.65007
02/08/2024,0.65007,0.65471,0.64864,0.65109
05/08/2024,0.65054,0.65185,0.63489,0.64957
06/08/2024,0.64956,0.65415,0.64724,0.65211
07/08/2024,0.65207,0.65744,0.65071,0.65184
08/08/2024,0.6517,0.65936,0.65071,0.65914
09/08/2024,0.65872,0.66049,0.65662,0.65705
12/08/2024,0.6568,0.66045,0.65646,0.65845
13/08/2024,0.65831,0.66375,0.65786,0.66273
14/08/2024,0.66267,0.66426,0.65947,0.65993
15/08/2024,0.65987,0.66341,0.65684,0.66121
16/08/2024,0.66118,0.66708,0.66069,0.66684
19/08/2024,0.66682,0.67331,0.66381,0.67282
20/08/2024,0.67286,0.67489,0.67127,0.67444
21/08/2024,0.67437,0.67604,0.67305,0.67412
22/08/2024,0.6742,0.67523,0.66968,0.67041
23/08/2024,0.67012,0.67981,0.66991,0.67951
26/08/2024,0.6787,0.67961,0.67663,0.67709
27/08/2024,0.67706,0.6795,0.67612,0.67909
28/08/2024,0.67918,0.68124,0.6764,0.67838
29/08/2024,0.6783,0.68234,0.67759,0.67972
30/08/2024,0.67965,0.6816,0.67511,0.67634
02/09/2024,0.6765,0.67944,0.67567,0.6789
03/09/2024,0.67878,0.67918,0.67076,0.67102
04/09/2024,0.67104,0.67488,0.66853,0.67232
05/09/2024,0.67235,0.67412,0.67101,0.67393
06/09/2024,0.67397,0.67667,0.66594,0.66684
09/09/2024,0.66638,0.66884,0.66474,0.66596
10/09/2024,0.66603,0.66761,0.66406,0.66516
11/09/2024,0.66503,0.66754,0.66217,0.66728
12/09/2024,0.66736,0.67249,0.66562,0.67216
13/09/2024,0.67218,0.67322,0.66919,0.67031
16/09/2024,0.66959,0.67532,0.66959,0.67505
17/09/2024,0.6748,0.67682,0.6741,0.67544
18/09/2024,0.67546,0.68199,0.67418,0.6763
19/09/2024,0.67631,0.68386,0.67372,0.68136
20/09/2024,0.68116,0.68284,0.67826,0.68055
23/09/2024,0.67991,0.68532,0.67954,0.68373
24/09/2024,0.68371,0.68929,0.68138,0.6891
25/09/2024,0.68915,0.69077,0.68176,0.68216
26/09/2024,0.68221,0.69044,0.68185,0.68943
27/09/2024,0.68924,0.69369,0.68677,0.69007
30/09/2024,0.6902,0.69418,0.68953,0.69125
01/10/2024,0.69116,0.69341,0.68561,0.68823
